학교명,급식일자,급식인원수,칼로리정보,탄수화물(g),단백질(g),지방(g),비타민A(R.E),티아민(mg),리보플라빈(mg),비타민C(mg),칼슘(mg),철분(mg),menu_list
가경초등학교,20250616,339,667.9,102.1,31.9,14.0,272.9,0.5,0.6,9.6,275.5,2.5,"['친환경 현미찹쌀밥', '근대된장국', '청포묵무침', '닭갈비', '배추김치', '일반우유', '체리']"
가경초등학교,20250617,339,664.0,71.7,35.5,24.5,235.9,1.0,0.8,23.0,462.8,3.3,"['친환경 찹쌀밥', '한우쇠고기무국', '파래멸치볶음', '목살된장구이', '깍두기', '고칼슘우유', '파인애플']"
가경초등학교,20250618,339,706.8,94.2,25.4,25.6,109.1,0.3,0.4,21.2,297.0,1.8,"['참치김치덮밥', '베이컨크림파스타', '맑은콩나물국', '저지방우유', '피치 코코 주스', '단무지']"
가경초등학교,20250619,339,561.4,74.0,30.9,15.1,262.5,0.5,0.5,15.2,314.7,3.1,"['친환경 발아흑미밥', '시래기된장국', '참나물무침', '닭카레볶음', '열무김치', '방울토마토', '일반우유']"
가경초등학교,20250620,339,589.7,92.9,30.6,10.6,175.6,0.8,0.6,68.6,224.8,2.6,"['친환경 차조밥', '아욱감자된장국', '양배추찜', '돈육고추장불고기', '배추김치', '두부쌈장', '발효유', '골드키위 주스', '스틱채소']"
가경초등학교,20250623,299,593.9,81.5,29.4,16.8,91.2,0.3,0.5,17.3,274.8,2.2,"['친환경 발아흑미밥', '아삭이고추된장무침', '대패간장불고기', '깍두기', '일반우유', '블루베리', '참치김치찌개']"
가경초등학교,20250624,299,610.7,79.0,36.5,15.5,325.6,0.9,0.6,29.7,472.4,3.9,"['친환경 기장밥', '순두부계란국', '오이들깨무침', '순살닭볶음탕', '열무김치', '고칼슘우유', '귤']"
가경초등학교,20250625,339,756.7,90.9,33.6,28.4,87.5,0.5,0.7,50.1,361.9,3.8,"['옛날도시락.st', '유부장국', '비건만두', '깍두기', '저지방우유', '망고주스']"
가경초등학교,20250626,339,626.6,82.1,29.6,18.5,203.1,0.3,0.7,14.9,302.7,8.6,"['친환경 발아현미밥', '우리밀 찹쌀꽈배기', '주꾸미연포탕', '삼색계란찜', '구운 김', '배추김치', '일반우유']"
가경초등학교,20250627,339,702.6,115.7,25.7,15.2,170.0,1.2,0.5,14.7,192.2,3.2,"['친환경 홍미밥', '쇠고기우거지국', '양상추샐러드', '수제함박스테이크', '배추김치', '발효유', '수박']"
가경초등학교,20250630,339,848.5,96.3,32.4,36.3,133.5,0.4,0.8,13.8,254.0,9.7,"['친환경 귀리밥', '한방갈비탕', '구운느타리버섯무침', '돈등심탕수육/소스', '배추김치', '일반우유', '자두']"
가경초등학교,20250701,337,589.6,84.3,34.6,11.9,252.2,0.9,0.7,8.3,475.9,3.5,"['친환경 찹쌀밥', '전복살미역국', '청경채 장육', '명엽채볶음', '배추김치', '고칼슘우유', '체리']"
가경초등학교,20250702,337,681.9,88.5,29.7,22.9,151.0,0.4,0.6,9.6,399.8,2.9,"['곤드레나물밥', '한우쇠고기무국', '텐더 샐러드', '배추김치', '불고기 사각피자', '비빔간장', '저지방우유']"
가경초등학교,20250703,337,579.8,92.3,28.9,9.2,125.3,0.6,0.5,22.2,607.6,3.2,"['친환경 차수수밥', '부산돼지국밥', '쫄면야채무침', '마늘쫑건새우볶음', '깍두기', '파인애플', '일반우유', '다진 양념']"
가경초등학교,20250704,337,564.2,87.1,32.4,9.6,106.0,0.8,0.8,8.6,210.0,3.8,"['친환경 현미찹쌀밥', '북어감자국', '오향장육', '매콤팽이버섯조림', '열무김치', '발효유', '수박']"
가경초등학교,20250707,337,540.5,90.8,22.4,8.9,120.2,0.5,0.5,27.6,307.9,3.1,"['친환경 기장밥', '꽃게해물탕', '오이지무침', '전통잡채', '배추김치', '귤', '일반우유']"
가경초등학교,20250708,337,626.5,73.4,32.1,22.3,290.0,0.7,0.6,23.7,458.0,3.5,"['친환경 차조밥', '햄김치찌개', '우엉조림', '허브치킨플레로티', '깍두기', '고칼슘우유', '열대과일샐러드']"
가경초등학교,20250709,337,736.8,115.7,30.3,16.3,65.4,0.5,0.7,11.9,301.5,3.6,"['장어튀김덮밥', '맑은콩나물국', '타코야끼', '배추김치', '저지방우유', '레몬에이드']"
가경초등학교,20250710,337,817.5,85.0,43.2,33.2,200.9,1.3,0.6,14.4,284.8,4.0,"['친환경 발아흑미밥', '채개장', '비름나물무침', '치킨데리소스구이', '배추김치', '소떡갈떡', '일반우유']"
가경초등학교,20250711,337,535.8,81.7,28.6,10.2,79.7,0.7,0.4,16.4,176.4,2.4,"['친환경 홍미밥', '콩가루배추된장국', '제육볶음', '감자채볶음', '열무김치', '발효유', '샤인머스켓']"
가경초등학교,20250714,337,552.7,74.6,32.0,13.5,216.7,0.4,0.6,11.0,290.2,2.9,"['친환경 귀리밥', '시래기된장국', '닭고기콩나물찜', '청포묵무침', '열무김치', '일반우유', '스테비아 방울토마토']"
가경초등학교,20250715,337,516.4,70.2,32.8,11.1,313.3,1.0,0.6,4.6,404.4,3.6,"['친환경 발아현미밥', '들깨가루미역국', '돈육메추리알장조림', '깻잎조림', '깍두기', '고칼슘우유', '포도']"
